id,repo,hf_ctx_size,applied_ctx_size,type
Qwen3-30B-A3B-Thinking-2507.Q5_K_M.gguf,mradermacher/Qwen3-30B-A3B-Thinking-2507-GGUF:Q5_K_M,262144,131072
Qwen3-30B-A3B-Thinking-2507-Amoral-Edition.i1-Q5_K_M.gguf,mradermacher/Qwen3-30B-A3B-Thinking-2507-Amoral-Edition-i1-GGUF:Q5_K_M,262144,131072
L3.3-GeneticLemonade-Final-70B.i1-Q4_K_M.gguf,mradermacher/L3.3-GeneticLemonade-Final-70B-i1-GGUF:Q4_K_M,131072,65536
Qwen3-Silent-Scream-6B.i1-Q6_K.gguf,mradermacher/Qwen3-Silent-Scream-6B-i1-GGUF:Q6_K,262144,32768,small
Qwen3-Darkest-Jan-v1-256k-ctx-6B.i1-Q6_K.gguf,mradermacher/Qwen3-Darkest-Jan-v1-256k-ctx-6B-i1-GGUF:Q6_K,262144,32768,small
Qwen3-ST-The-Next-Generation-II-v1-256k-ctx-6B.Q6_K.gguf,mradermacher/Qwen3-ST-The-Next-Generation-II-v1-256k-ctx-6B-GGUF:Q6_K,262144,32768,small
Fallen-Gemma3-27B-v1.i1-Q5_K_M.gguf,mradermacher/Fallen-Gemma3-27B-v1-i1-GGUF:Q5_K_M,131072,65536
MN-DARKEST-UNIVERSE-29B_Q4_K_M,DavidAU/MN-DARKEST-UNIVERSE-29B-GGUF:Q4_K_M,131072,65536
gemma-3-4b-it-UD-Q6_K_XL.gguf,unsloth/gemma-3-4b-it-GGUF:Q6_K_XL,131072,131072,small
gemma-3-12b-it-qat-UD-Q6_K_XL.gguf,unsloth/gemma-3-12b-it-qat-GGUF:Q6_K_XL,131072,131072
gemma-3-27b-it-qat-Q5_K_M.gguf,unsloth/gemma-3-27b-it-qat-GGUF:Q5_K_M,131072,65536
Qwen3-30B-A3B-Instruct-2507.Q5_K_M.gguf,mradermacher/Qwen3-30B-A3B-Instruct-2507-GGUF:Q5_K_M,262144,65536
Qwen3-42B-A3B-Stranger-Thoughts-Deep20x-Abliterated-Uncensored.Q5_K_M.gguf,mradermacher/Qwen3-42B-A3B-Stranger-Thoughts-Deep20x-Abliterated-Uncensored-GGUF:Q5_K_M,262144,65536
gpt-oss-20b_MXFP4_MOE,lmstudio-community/gpt-oss-20b-GGUF,131072,65535
gpt-oss-120b_MXFP4_MOE,lmstudio-community/gpt-oss-120b-GGUF,131072,65535
meta-llama_Llama-4-Scout-17B-16E-Instruct-Q4_K_M-00001-of-00002.gguf,bartowski/meta-llama_Llama-4-Scout-17B-16E-Instruct-old-GGUF:Q4_K_M,10485760,131072
bge-large-en-v1.5.i1-Q6_K.gguf,mradermacher/bge-large-en-v1.5-i1-GGUF:Q6_K,4096,4096,embedder
Qwen3.5-27B-Q5_K_M.gguf,unsloth/Qwen3.5-27B-GGUF:Q5_K_M,262144,65536
Qwen3.5-35B-A3B-Q5_K_M.gguf,unsloth/Qwen3.5-35B-A3B-GGUF:Q5_K_M,262144,65536
Qwen3.5-27B-heretic-Q5_K_M.gguf,juanml82/Qwen3.5-27B-heretic-GGUF:Q5_K_M,262144,65536
qwen3-next-80b-a3b-thinking-mxfp4_moe.gguf,juanml82/Huihui-Qwen3-Next-80B-A3B-Thinking-abliterated-gguf:MXFP4_MOE,262144,65536
Big-Tiger-Gemma-27B-v3-heretic.i1-Q5_K_M.gguf,mradermacher/Big-Tiger-Gemma-27B-v3-heretic-i1-GGUF:Q5_K_M,131072,65536
Llama-3.3-8B-Instruct-128K-heretic.Q5_K_M.gguf,mradermacher/Llama-3.3-8B-Instruct-128K-heretic-GGUF:Q5_K_M,131072,65536,small
gpt-oss-20b-uncensored-heretic.i1-MXFP4_MOE.gguf,mradermacher/gpt-oss-20b-uncensored-heretic-i1-GGUF:MXFP4_MOE,131072,65535
gpt-oss-120b-heretic-v1.i1-MXFP4_MOE.gguf,mradermacher/gpt-oss-120b-heretic-v1-i1-GGUF:MXFP4_MOE,131072,65535
Qwen3-VL-8B-Thinking-heretic-imatrix-Q5_K_M.gguf,ZuzeTt/Qwen3-VL-8B-Thinking-Imatrix-heretic:Q5_K_M,262144,65536,small
Qwen3-VL-8B-GLM-4.7-Flash-Heretic-Uncensored-Thinking.i1-Q5_K_M.gguf,mradermacher/Qwen3-VL-8B-GLM-4.7-Flash-Heretic-Uncensored-Thinking-i1-GGUF:Q5_K_M,262144,65536,small
Qwen3.5-35B-A3B-heretic.Q5_K_M.gguf,mradermacher/Qwen3.5-35B-A3B-heretic-GGUF:Q5_K_M,262144,65536
Qwen3.5-122B-A10B-abliterated-Q4_K_M-00001-of-00002.gguf,TNT3530/Qwen3.5-122B-A10B-abliterated-GGUF:Q4_K_M,262144,65536
